med_inc,avg_test_score
126136.32,6.53040038
59472.738,4.166006618
52856.855,3.678618562
48025.711,3.486974388
73629.227,4.426442367
62796.422,4.954520009
49999,4.867065248
39879.977,4.740070019
43302.91,4.410997638
49641.926,4.476780227
48957.543,3.594294357
69936.836,4.934797444
57999.203,4.109981614
31090.689,4.016145828
38584.188,3.965410701
40454.453,4.187031293
89031.703,5.53902331
73680.906,4.954893944
40833.168,4.292913574
50753.348,5.845291933
49968.516,4.385711892
48345.484,5.502654472
66837.781,4.859253189
40433.438,3.970843349
72702.641,5.802044121
84999.602,5.840937003
55206.09,3.509747442
75557.305,6.075618101
83787.531,6.960506689
35669.508,3.439461691
28665.934,2.900229519
96194.805,5.395695277
100803.54,5.809134776
22856.57,2.629274186
55594.676,4.188471728
27699.459,5.259149542
53084.797,4.334691092
73592.844,4.789927594
43499.301,4.875781381
44816.109,3.907794002
34374.125,4.44636524
70261.047,3.964591743
84730.617,8.006103243
33749.25,5.392209225
87499.5,4.258088297
76136.313,3.670751584
47856.57,3.341936582
31874.625,3.32964787
74374.039,5.12439014
38059.734,4.49903983
84635.977,4.961381326
54434.34,3.743754801
32964.008,3.546123873
50080.207,4.253071162
125624.98,7.175643084
57199.277,5.019644971
38124.375,3.964576181
37499.5,4.290997375
54570.969,4.329665319
54624.539,5.018233286
54347.391,4.287097722
63749.758,3.643614877
41911.383,4.79261763
28749.25,3.656445599
66451.18,4.908457674
52249.773,3.914388647
62209.672,4.613657705
134090.55,7.023697708
96226,5.889365589
73420.156,6.186701001
72460.711,5.773805516
82703.18,5.523541849
96620.758,6.754036365
52999.699,4.142951707
56749.324,3.250334542
58549.145,4.937697129
80356.93,4.692074941
73124.125,3.864923599
43054.941,3.582587412
86560.805,5.91759218
83378.039,6.27112215
49890.324,4.037274025
92417.336,6.362171753
99518.258,5.505954991
64071.156,3.957667016
56666,5.120325861
71219.25,4.519096227
116712.81,6.44383995
81944.164,5.721313867
47940.59,4.833904286
61022.66,4.57973905
72264.805,5.525537261
113140.5,7.053119735
